epochs,rmse,mae,mape
5,0.6927255756979266,0.5479362994809691,108.8833309951658
10,0.6915132503263401,0.5455540876910147,103.71563902948473
20,0.6943708800780598,0.5467462067403887,106.42309455408197
30,0.707942810374626,0.5595785727098105,127.0444157253959
