Model,RMSE,MAE,MAPE,Directional Accuracy
Naive Persistence Baseline,1.0432742258051402,0.7612732325422739,461.71507087505745,49.192546583850934
Mean Return Baseline,0.7275288536532171,0.5347572948686723,100.00000356740289,48.4472049689441
